ingredient_id,molecule_id
02c4070c-b89f-4368-863c-0cae0128191a,1379
02c4070c-b89f-4368-863c-0cae0128191a,1393
02c4070c-b89f-4368-863c-0cae0128191a,1396
02c4070c-b89f-4368-863c-0cae0128191a,1398
02c4070c-b89f-4368-863c-0cae0128191a,1403
02c4070c-b89f-4368-863c-0cae0128191a,1411
02c4070c-b89f-4368-863c-0cae0128191a,1444
02c4070c-b89f-4368-863c-0cae0128191a,1446
02c4070c-b89f-4368-863c-0cae0128191a,1447
02c4070c-b89f-4368-863c-0cae0128191a,1450
02c4070c-b89f-4368-863c-0cae0128191a,1451
02c4070c-b89f-4368-863c-0cae0128191a,1454
02c4070c-b89f-4368-863c-0cae0128191a,1480
02c4070c-b89f-4368-863c-0cae0128191a,1505
02c4070c-b89f-4368-863c-0cae0128191a,1507
02c4070c-b89f-4368-863c-0cae0128191a,1511
02c4070c-b89f-4368-863c-0cae0128191a,1516
02c4070c-b89f-4368-863c-0cae0128191a,1581
02c4070c-b89f-4368-863c-0cae0128191a,1608
02c4070c-b89f-4368-863c-0cae0128191a,1633
03185798-d3b9-415b-86a9-95333b16f296,3
03185798-d3b9-415b-86a9-95333b16f296,16
03185798-d3b9-415b-86a9-95333b16f296,17
03185798-d3b9-415b-86a9-95333b16f296,20
03185798-d3b9-415b-86a9-95333b16f296,47
03185798-d3b9-415b-86a9-95333b16f296,65
03185798-d3b9-415b-86a9-95333b16f296,74
03185798-d3b9-415b-86a9-95333b16f296,101
03185798-d3b9-415b-86a9-95333b16f296,149
03185798-d3b9-415b-86a9-95333b16f296,156
03185798-d3b9-415b-86a9-95333b16f296,166
03185798-d3b9-415b-86a9-95333b16f296,177
03185798-d3b9-415b-86a9-95333b16f296,182
03185798-d3b9-415b-86a9-95333b16f296,191
03185798-d3b9-415b-86a9-95333b16f296,194
03185798-d3b9-415b-86a9-95333b16f296,220
03185798-d3b9-415b-86a9-95333b16f296,234
03185798-d3b9-415b-86a9-95333b16f296,248
03185798-d3b9-415b-86a9-95333b16f296,259
03185798-d3b9-415b-86a9-95333b16f296,261
03185798-d3b9-415b-86a9-95333b16f296,270
03185798-d3b9-415b-86a9-95333b16f296,303
03185798-d3b9-415b-86a9-95333b16f296,343
03185798-d3b9-415b-86a9-95333b16f296,448
03185798-d3b9-415b-86a9-95333b16f296,482
03185798-d3b9-415b-86a9-95333b16f296,536
03185798-d3b9-415b-86a9-95333b16f296,538
03185798-d3b9-415b-86a9-95333b16f296,542
03185798-d3b9-415b-86a9-95333b16f296,588
03185798-d3b9-415b-86a9-95333b16f296,622
03185798-d3b9-415b-86a9-95333b16f296,623
03185798-d3b9-415b-86a9-95333b16f296,630
03185798-d3b9-415b-86a9-95333b16f296,641
03185798-d3b9-415b-86a9-95333b16f296,656
03185798-d3b9-415b-86a9-95333b16f296,672
03185798-d3b9-415b-86a9-95333b16f296,681
03185798-d3b9-415b-86a9-95333b16f296,692
03185798-d3b9-415b-86a9-95333b16f296,701
